Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),Time,PM1 (std),PM2.5 (std),PM10 (std)
1708729635.5451932,22.792890625,362537,31.459305433429684,1007.8881733875954,44.73681515003732,0,0,0
1708729636.5572414,22.779609375,364060,31.44691633966318,1007.8885764362362,44.73344504792717,0,0,0
1708729637.5691924,22.7659375,361403,31.44011303489506,1007.8917680397972,44.70675840697066,0,0,0
1708729638.5824778,22.7534375,362158,31.439029757237527,1007.8831568623665,44.778761052724604,0,0,0
1708729639.5947115,22.74015625,364060,31.4322613553238,1007.883557653749,44.775409811231675,0,0,0
1708729640.6068027,22.725703125,362537,31.436626746067958,1007.8871742424122,44.74516953421304,0,0,0
1708729641.6190555,22.71046875,361026,31.424072916076035,1007.8843496445473,44.76878753523035,0,1,1
1708729642.6312852,22.6989453125,361026,31.434309015960487,1007.879064942393,44.812975951912016,0,1,1
1708729643.643387,22.6909375,362158,31.444850061326235,1007.8761488519234,44.83735913216687,1,1,1
1708729644.6560137,22.682734375,360651,31.460992651940202,1007.8763437799608,44.83572922022784,0,0,0
1708729645.668044,22.674921875,360651,31.465933737882708,1007.8668824719051,44.91484126872396,0,0,0
1708729646.680062,22.667109375,360651,31.487730760822743,1007.8591378834743,44.97959917391576,0,0,0
1708729647.6920831,22.6622265625,361403,31.515404603441286,1007.8613790495602,44.9608591797846,0,0,0
1708729648.7038887,22.65890625,359902,31.543219023134107,1007.8679158350336,44.90620062937183,0,0,0
1708729649.7156274,22.6534375,359156,31.582096482341804,1007.8709063083277,44.881195325097714,0,0,0
1708729650.7273867,22.650703125,359528,31.587481436148018,1007.8732598339365,44.86151599949944,0,0,0
1708729651.7396572,22.64875,361403,31.621051764292734,1007.8717527143133,44.87411798164174,0,0,0
1708729652.751638,22.645625,363297,31.64327754986353,1007.8717446896652,44.874185080849756,0,0,0
1708729653.76344,22.6430859375,360651,31.659931992464678,1007.874420474314,44.851811160275105,0,0,0
1708729654.7752235,22.6409375,361780,31.68787494005197,1007.8828910562919,44.78098360695667,0,0,0
1708729655.786964,22.642109375,362158,31.704857781876967,1007.8831087020778,44.779163747975076,0,0,0
1708729656.7988446,22.645625,360651,31.73893196420375,1007.8751780941989,44.84547623202493,0,0,0
1708729657.8110628,22.6516796875,358042,31.795758226819036,1007.871438313277,44.876746889845755,0,0,0
1708729658.8231487,22.6591015625,361403,31.830196820546547,1007.8733884276261,44.86044074688242,0,0,0
1708729659.8353665,22.6676953125,360276,31.870381033256333,1007.8755558485302,44.842317595962285,0,0,0
1708729660.8473487,22.6774609375,361403,31.91068042895967,1007.8693565258658,44.894154062989564,0,0,0
1708729661.8594887,22.6878125,361780,31.93413296959052,1007.8658405051657,44.9235538558758,0,0,1
1708729662.8715346,22.6997265625,360651,31.952089823241433,1007.864902792348,44.931394711858225,0,0,1
1708729663.883628,22.713984375,362537,31.98153266805125,1007.8729833598153,44.863827773671396,0,0,1
1708729664.8957276,22.728828125,364060,32.01667474742361,1007.871728905802,44.87431705981264,0,1,2
1708729665.9077148,22.7411328125,362158,32.029038454890824,1007.8765846330652,44.83371530121189,0,1,2
1708729666.9194224,22.751484375,359156,32.052515208455205,1007.8850843367107,44.76264436878105,0,1,2
1708729667.931138,22.758515625,362537,32.05877648897751,1007.8829529062903,44.78046644426119,0,0,1
1708729668.9431632,22.7628125,361780,32.07608271520716,1007.8711573641326,44.879096085943914,0,0,1
1708729669.9552162,22.764375,362537,32.07622040667048,1007.8634339808519,44.94367645774426,0,0,1
1708729670.9672124,22.7659375,363678,32.07071525532594,1007.8642956632684,44.936471335045965,0,0,1
1708729671.9791977,22.7669140625,361403,32.076444160148384,1007.8607562766515,44.96606662654094,0,0,1
1708729672.991199,22.76984375,364443,32.09927613303082,1007.8638742904342,44.9399947241489,0,0,1
1708729674.003185,22.7751171875,360276,32.11667401917563,1007.8639921399335,44.93900930302227,0,0,0
1708729675.0151484,22.7815625,361026,32.15111484662939,1007.8729121204403,44.86442345101347,0,0,1
1708729676.0266953,22.7852734375,359528,32.17967567831586,1007.8721681843583,44.870643971813166,0,0,1
1708729677.038817,22.7864453125,361780,32.20236977498129,1007.8741021831737,44.854472590427,0,0,1
1708729678.050811,22.785859375,362158,32.21926315576142,1007.8697010311234,44.89127342934612,0,0,1
1708729679.0628152,22.784296875,361780,32.2360720489845,1007.8705565194896,44.88412013538227,0,0,1
1708729680.0748446,22.783125,363297,32.24161780174941,1007.8617542483912,44.95772187704405,0,0,1
1708729681.0868716,22.781171875,362917,32.252744467758255,1007.8619650703631,44.95595904587182,0,0,1
1708729682.0994897,22.77765625,362917,32.26373354228237,1007.8681824873393,44.903970972500865,0,0,1
1708729683.1116657,22.774921875,358413,32.286094566569425,1007.8705379929074,44.88427504811858,0,0,1
1708729684.1236806,22.7708203125,358413,32.325294825884065,1007.8740711516225,44.85473206456129,0,0,1
1708729685.1356816,22.7659375,358042,32.387054418762276,1007.8728807778806,44.864685525932856,0,0,1
1708729686.147805,22.7618359375,352937,32.43759436813887,1007.8712626714125,44.87821554413213,0,0,1
1708729687.1598425,22.7587109375,353658,32.522196030305174,1007.8781242393768,44.82084172742781,0,0,1
1708729688.1718433,22.755,353297,32.578478776825875,1007.8788676711305,44.81462545337475,0,0,1
1708729689.1838124,22.749921875,350794,32.64599007801176,1007.8859395030829,44.75549385559081,0,0,1
1708729690.195816,22.7426953125,351149,32.70767172186486,1007.8860312874438,44.75472639669888,0,0,1
